_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,cannot_decide_reason,sim_score,sim_score:variance,a,b,cannot_decide_reason_gold,cluster_a,cluster_b,id_a,id_b,lemma,sim_score_gold,time_a,time_b
2540617982,false,finalized,5,11/13/2019 17:35:15,,2.6,0.8,"all in return for ratification of the canal treaty ? just in the right spot , a fig [[leaf]] of democracy ! then hugo spadafora went and shot his mouth off .","door , listens there for a moment , then continues over to desk . he picks up the envelope , opens the flap , takes out the unbound script and begins to [[leaf]] through the pages . at this moment the sound of someone ' s footsteps in the hall makes him quickly replace the script into the envelope and throw it down on the desk .",,5,8,6,33,leaf,,1970-80,1950-60
2540617983,false,finalized,5,11/13/2019 17:32:27,,2.2,0.98,"txt attorney genet eral daugherty , refusing to make any concession to criticism of the temporary injunction he obtained against the striking railway shopmen ten days ago , will personally appear tomorrow before judge james h . wilkerson in the [[federal]] cottle here , determined to stick to his guns in a fight to have the drastic restraining order made permanent . this unqualified forecast was made tonight by one closely in touch with the government ' s plan of campaign to put a curb on railway strike activities .","as a means of raising additional capital , while at the same time keeping the company privately - owned . such a financing vehicle would give smith ' s loyal employees "" a piece - of - the - action "" in [[federal]] express . brick meers felt smith was getting poor advice , and strongly urged that the only way to make smith "" whole "" was through a public offering of stock .",,8,8,0,1,federal,,1910-20,1970-80
2540617984,false,finalized,5,11/13/2019 17:51:45,,3.0,0.632,"fortunately , however , there is a principle in comparative anatomy which lessens this difficulty . every organised being constitutes a complete and [[compact]] system with all its parts in mutual correspondence . none of and consequently each part , taken separately , indicates the others .","chicken wire stretched across the beds a few inches above the ground discourages her dogs from digging up or trampling plants and provides the mums with support , preventing them from flopping open in the center after a heavy rain . all but the most [[compact]] cultivars benefit from pinching or shearing back . shearing plants to six inches also temporarily eliminates the black aphids that congregate near the stem tips .",,0,0,5,9,compact,,1910-20,1990-00
2540617985,false,finalized,5,11/13/2019 17:44:30,,3.0,0.0,he picked off the few twigs that were lying on it and threw them to the ground . this end of the lodge was near the woods and the roof was darkened by [[leaf]] shadow . moss grew on the shingles .,"the boy felt hope piercing into him like one of the beams of sunlight that were cutting through house . the [[leaf]] had been turned over at last . the light of the sun passed on then , and he waited for the wrath of his father to burst out .",,7,8,23,34,leaf,,1950-60,1990-00
2540617986,false,finalized,5,11/13/2019 17:47:02,,2.2,0.98,"but the waves were rising strangely , she thought , - - rising , rising - - at last , she felt and stopped her . somewhere , there was the soft thud of a falling body ; then the cool greenness closed around her and held her tenderly , a crumpled [[leaf]] that the whirlwind had dropped from its sport . chapter viii .","onion flowers have higher levels of medicinal compounds than the bulbs , and they taste fabulous when used in place of raw , chopped onions . "" choosing varieties each ring in [[leaf]] , so onion plants that have many big leaves when they form bulbs will produce the best and biggest onions . that means that providing onions with a long , stress - free growing season is the key to growing robust bulbs .",,6,0,0,14,leaf,,1910-20,1990-00
2540617987,false,finalized,5,11/13/2019 18:09:57,,3.0,0.632,""" "" very good , sir , "" said bumpo , turning round smartly and making for the stairway . "" now matthew , "" said the doctor , "" you can take the [[coach]] from penzance to bristol . and from there it is not very far to puddleby , as you know .","had kept on sliding past the traumatic episodes , like a monkey on a greased pole , on past his birth and into previous lives . after being a woman giving birth in a medieval castle , a dinosaur , a prevertebrate in the postprimal ocean , and an eighteenth - century passengerin a stage [[coach]] going through the black forest , peter had abandoned scientology . the fantasies were interesting , and they revealed something of his character .",,1,1,0,1,coach,,1910-20,1970-80
2540617988,false,finalized,5,11/13/2019 17:37:43,,2.0,0.894,"suggestions to the committee for a tax on beer were approved in a statement today by representative dyer , issued through the association against the prohibition amendment . he advocated such a tax , "" not only for the substantial annual revenue it would [[net]] , but also for its beneficial influence toward lessening graft and corruption in prohibition enforcement . ""","while some 500 celebrities acted as auctioneers , wnet viewers phoned in bids on donated goods and ( $ 250 ) to a night at the opera with actor tony randall ( $ 1 , 000 ) . wnet officials reckoned that the auction would [[net]] the station nearly $ 1 million , which is a lot of old sneakers . ",,1,1,15,16,net,,1910-20,1970-80
2540617989,false,finalized,5,11/13/2019 17:35:02,,3.4,0.49,"men are the substance and must do the business . "" 1 the form of the constitution was evolved in the various state constitutions made during the revolution ; the [[federal]] idea came from an footnote 1 hunt ' s madison ' s notes , ii , 165 . 229 attempt to find some solution for the economic difficulties whose pressure was so seriously felt after the war was ended ; the first administrative traditions were created by the pressure of necessity and the genius of hamilton .","profound geo - political reasons why the british decided to pass the proclamation of 1763 and quebec act of america , faced with all that was taking place in the american colonies . yet it was truly remarkable that , in this period of imperial history , the british themselves would begin to understand the importance of the federal principle and the [[federal]] idea , even in the heart of the empire . having won a military victory in 1759 , it would have been possible for the british to have insisted that those who had been conquered conform entirely to the culture , to the government , and to the way of life of the so - called conqueror .",,9,9,45,49,federal,,1910-20,1990-00
2540617990,false,finalized,5,11/13/2019 17:42:59,,2.8,1.166,"s armaments will be controlled by the same process ; and the limitations which have already been prescribed by existing treaties - - such as the various peace treaties or the naval treaties of washington and london - - will , save so far as they are modified by mutnal consent , reappear in the voluntary and comprehensive [[compact]] about to be negotiated at geneva . ' it will then be this last - named docuigient which is the effective obligation binding upon all .","chicken wire stretched across the beds a few inches above the ground discourages her dogs from digging up or trampling plants and provides the mums with support , preventing them from flopping open in the center after a heavy rain . all but the most [[compact]] cultivars benefit from pinching or shearing back . shearing plants to six inches also temporarily eliminates the black aphids that congregate near the stem tips .",,1,0,2,9,compact,,1930-40,1990-00
2540617991,false,finalized,5,11/13/2019 17:45:19,,2.0,0.894,"the title page with the handwriting had been torn out . i held the [[spine]] of the thing , flipped through the pages , and shook it hard . the loan agency card was missing too .","pure hysteria occurred uncommonly . one patient had fallen down stairs 12 years before , landing on the base of the [[spine]] . iie was asymptomatic until the past three to four years , during which time ire had had intermittent low backache .",,0,1,6,12,spine,,1970-80,1930-40
2540617992,false,finalized,5,11/13/2019 17:36:12,,2.2,0.98,"onion flowers have higher levels of medicinal compounds than the bulbs , and they taste fabulous when used in place of raw , chopped onions . "" choosing varieties each ring in [[leaf]] , so onion plants that have many big leaves when they form bulbs will produce the best and biggest onions . that means that providing onions with a long , stress - free growing season is the key to growing robust bulbs .",""" some day , when they are far away - - and safe . "" he felt peter suddenly stiffen under his hand , and from the [[leaf]] bud came a low , swift word of warning . she began singing softly , and dishes and pans already clean rattled under her hands in the kitchen , and she continued the man - hunter stood in it .",,0,7,14,20,leaf,,1990-00,1910-20
2540617993,false,finalized,5,11/13/2019 17:35:47,,2.6,0.49," these contradictions , however , are apparent , not real . all the pros , with a very few exceptions , use the [[compact]] swing . the kind of swing they take is well under control and well within physical limits - - for them .",". because this afternoon you left here neither your purse , your [[compact]] nor your handkerchief . 42b cs nora smiles - - camera shooting past roberto at left f .",,0,3,8,18,compact,,1950-60,1950-60
2540617994,false,finalized,5,11/13/2019 17:39:54,,3.0,0.0,"cloaked as necessary "" functional details "" mies slipped in his own fetish objects and , at the same time , removed any opportunity for women to display their own possessions within his interiors . while the man ' s fetish results from an [[optical]] misperception that inscribes a lack upon the woman ' s body , the female fetish involves a tactile experience of her body flowing into external objects , an experience that confirms not lack but abundance . pursuing a strategy that , perhaps regrettably , confirms a notion of the female as essentially",tetracene ( a percussion explosive ) . [[optical]] glass and instruments . plexiglas ( a plastic glass used for airplanes ) .,,2,4,14,17,optical,,1990-00,1930-40
2540617995,false,finalized,5,11/13/2019 17:48:16,,2.0,0.632,"123 - 124 ( so the leaf is numbered on its upper outboard corners ) makes much sense to its present reader . a more knowledgeable and perceptive eye than b three ' s might register that since the [[leaf]] ' s recto ( 123 ) happens to conclude one chapter of or selection from the overall text , and the verso ( 124 ) therefore to begin another , the title of the book itself - which would normally appear as a running head on the left - hand , even - numbered page - - is missing ;","two months ago , the 2 , 000 - tree lemon and orange grove of gabriel ramirez , near valles , on the pan american highway , was a rich and blooming place . last week , like most orchards in the lush , hot valley , ramirez ' trees were soot - black with the [[leaf]] - ravaging larvae of the mosca prieta ( citrus black fly ) . mexico city newspapers awoke to the threat of a national disaster : mexican agriculture faced a ruinous fruit - fly plague .",,5,7,9,22,leaf,,1990-00,1930-40
2540617996,false,finalized,5,11/13/2019 17:41:45,,2.6,0.8,"before lincoln took office in march 1861 , the seven seceded states formed the confederate states of america . they took over almost all of the [[federal]] property within their charleston harbor . confederate guns opened fire on the fort on april 12 , 1861 , and forced its capitulation a day later .","economy is trudging along at a slow 3 % annual growth rate , investors see plenty of reasons for putting their money on the . [[federal]] reserve chairman paul volcker hinted last month that the central bank will continue to apply downward pressure on rates in order to keep the economy moving . volcker seemed to confirm that policy last week , when he stated that the fed ' s open - market committee will keep a relatively loose rein on the money supply , a",,5,4,34,41,federal,,1990-00,1970-80
2540617997,false,finalized,5,11/13/2019 17:41:19,,2.8,1.166,"authorities spent another $ 288 million that year on capital improvements . 8 combine these figures with the some $ 600 million spent by various [[federal]] and state agencies on parks and recreation and government involvement becomes a billion - plus activity by state legislatures and the congress for the acquisition and development ( capital expenditures ) of natural resources and parks . add to them the millions of dollars which are spent for recreation by state departments of public instruction , conservation , highways , welfare",""" the quick thinking and acting on the part of mr . mitchell , who is the resident of the largest bank in the united states , should have been commended instead of condemned by the author of the [[federal]] reserve bill . "" senator glass may have been one of the authors of the federal reserve bill , but he is not now responrible for its operation .",,6,4,36,40,federal,,1970-80,1910-20
2540617998,false,finalized,5,11/13/2019 17:35:57,,2.2,0.98,"if i let my vision dwell upon one leaf , i find that it is not perceived in isolation , but simply as one part of a visual field from which i can not shut out other leaves , branches , and other objects . even if i ignore everything which is given to my eye at this moment except the single [[leaf]] , and even if i cease to perceive it as a "" patch "" of green , there are two curiously different features of the "" patch "" : ( 1 ) the particular green quality which is the "" content "" of my perception , and ( 2 ) the shape and extension or "" spreadout "" quality of","onion flowers have higher levels of medicinal compounds than the bulbs , and they taste fabulous when used in place of raw , chopped onions . "" choosing varieties each ring in [[leaf]] , so onion plants that have many big leaves when they form bulbs will produce the best and biggest onions . that means that providing onions with a long , stress - free growing season is the key to growing robust bulbs .",,0,0,12,14,leaf,,1930-40,1990-00
2540617999,false,finalized,5,11/13/2019 17:23:12,,2.8,0.98,"there was , however , little need for speed , for company seldom came unless plans had been made and allowed to mature for weeks , even months . and when it did come my bouts with the diningroom table were full of fear , for i always had to mind my manners , which consisted of keeping my [[spine]] straight and my hands in my lap and saying excuse me , please , and thank you , things which i had difficulty in performing properly because i was shy and believed , because of my mother ' s fearsome aspect when she instructed me , that they were rituals which if omitted would cause my death or perpetual disgrace -","logical effects were reported . recently data has been presented on a year - long , double - blind placebo - controlled study involving 107 women showing that 40 mg of red clover isoflavones decreased the rate of loss of bone mineral density ( bmd ) and bone mineral content ( bmc ) in lumbar [[spine]] of pre - and peri - menopausal women . no differences were seen between treatment groups in hip bmd , bmc or urinary bone markers .",,4,1,2,14,spine,,1930-40,1990-00
2540618000,false,finalized,5,11/13/2019 17:42:10,,2.6,0.49,"he found no fruit , nothing that looked fermentable . something in the spiny [[leaf]] stung like poison . flinging it aside , he pushed into the brittle tangle .","they were massive in proportion because of the tremendously scaled rooms of the day . one can maintain a key to the renaissance and louis xiv styles by remembering the popular motifs of the day were the acanthus [[leaf]] , sunburst , bird , and mask carvings . the chairs of this period , both louis xiii and xiv , had curved stretcher bars placed rather close to the floor .",,0,3,11,16,leaf,,1970-80,1970-80
2540618001,false,finalized,5,11/13/2019 17:39:24,,3.0,1.095,"he has the co - ordination of an acrobat , to maneuver himself - - in a fleeting second ? from a vertical position at the start of his vault to a [[virtual]] handstand at the top . he is strong and rugged , to withstand the physical pounding a vaulter takes both going up and coming down .",""" i ' d been apprehensive about how she would react , but all she did was look surprised and say "" oh . "" no real child would have settled for such an answer ; by accepting it , little pam identified herself as [[virtual]] , and let me recover some sense of control . but then she started giving me the once - over , and i saw her take in the size of my chest , and her eyes widen in dismay .",,1,1,3,4,virtual,,1950-60,1990-00
2540618002,false,finalized,5,11/13/2019 18:52:58,,2.8,0.4,"other crops , such as wheat and alfalfa , prefer a fairly compact seed bed ; hence , frequent harrowing and crops . nevertheless , it pays to plow the land for them , even if we have to [[compact]] it again before seeding . the plowing aerates the soil and helps to set plant food free .","also the condo in palm beach . ( she finds the [[compact]] disc she has been searching for and comes down . ) also my share of the royalties on any and all recordings , compact discs , cassettes , videocassettes , or films made prior to our divorce .",,2,3,14,16,compact,,1990-00,1970-80
2540618003,false,finalized,5,11/13/2019 17:46:17,,3.6,0.49,095 after depreciation . [[federal]] taxes . etc .,"that it might be sent to the plants . the suggestion publicly made by one of them late in the war that all southern women cut off their hair and sell it to europe , where it was believed it might bring $ 4o , 000 , 000 , failed of execution only because it was | impossible to run the [[federal]] blockade . living in an invaded country , they experienced the horrors of war all about them ?",,7,5,15,30,federal,,1910-20,1910-20
2540618004,false,finalized,5,11/13/2019 17:45:01,,3.0,0.632,"chicken wire stretched across the beds a few inches above the ground discourages her dogs from digging up or trampling plants and provides the mums with support , preventing them from flopping open in the center after a heavy rain . all but the most [[compact]] cultivars benefit from pinching or shearing back . shearing plants to six inches also temporarily eliminates the black aphids that congregate near the stem tips .",pack more gravel around the legs and fill the center area with decomposed granite . dampen and [[compact]] the granite with a tamper . 7 .,,0,2,9,13,compact,,1990-00,1950-60
2540618005,false,finalized,5,11/13/2019 17:35:47,,2.8,0.4,"tens the centerpieces of the pageant were the commercials written by hundreds of writers at advertising agencies , at salaries well above those of sustaining dramatic writers . these commercials were continually reviewed by network policy readers and sometimes by the [[federal]] trade commission . during the fiscal year ending june 30 , 1938 , the v1 ' c reported reviewing 1 , 069 , 944 pages of commercials from networks and stations .","was the inherited pattern of individualism and particularism that in spite of countless and continuous marriage alliances between the rulers of these city states , political connections never developed beyond the point of military alliances . far from reaching the kind of unification toward which the monarchy in france was moving , the italian city states did not even develop those [[federal]] leagues which might have served as a substitute and been a bulwark against disaster when the northern invasions began . | indeed it was not in the advanced civilization of the italian city states , but in the economically and culturally backward cantons of switzerland that europe found the first successful example of federal institutions since antiquity .",,1,9,23,48,federal,,1950-60,1950-60
2540618006,false,finalized,5,11/13/2019 17:43:28,,2.8,0.98,"i ' m a red ball walking ; kill me and all the resources of the city ' s homicide division will be brought to bear on , too . in fact , i think i ' d get almost as much coverage as gregory youssef , a [[federal]] prosecutor found stabbed to death last year . perhaps i should carry a clipping of that case , too , for it was really youssef ' s death that changed my life , although i did n ' t know it at the time .","of lorraine were re ? stored to france , and the italian trentino to italy , if the armenian vilavets were placed under russian rule and the turkish straits neutralized , if finally the hapsburgs , at the moment when they received the polish crown , would also remodel the dual monarchy on a [[federal]] basis , with a fullpromise of liberty to the czechs , the south slays and the roumans within it , there would be small reason to regret that the poles were enjoying freedom "" in the other camp . "" it is of course the corollary of such a settlement that it should rec",,3,9,29,46,federal,,1990-00,1970-80
2540618007,false,finalized,5,11/13/2019 18:20:16,,2.8,0.98,fight had been expected . police and [[federal]] operatives felt relieved today that kelly had been captured without the loss of a life . it had been expected that he would resist unto the last bullet .,"the senate - passed checkoff legislation , to which the president objects , would provide $ 20 . 4 million in [[federal]] funds to a national - party candidate who would agree not to raise any additional private contributions . despite assurances from democratic senatorial proponents that this sum would be all that is needed , such an amount would not be enough under today ' s normal campaigning procedures to finance in its entirety a national presidential campaign .",,8,7,2,16,federal,,1930-40,1970-80
2540618008,false,finalized,5,11/13/2019 17:36:03,,3.2,0.4,"w . mcspadden ' s synopses of shakespeare ' s plays , dickens ' s novels , and scott ' s waverley novels bespeak the demand in which this convenient little series is held ( crowell ; 75 cents [[net]] , each ) . bulfinch ' s mythology has , it seems , maintained its appeal into the present generation of readers .","suggestions to the committee for a tax on beer were approved in a statement today by representative dyer , issued through the association against the prohibition amendment . he advocated such a tax , "" not only for the substantial annual revenue it would [[net]] , but also for its beneficial influence toward lessening graft and corruption in prohibition enforcement . """,,4,1,5,15,net,,1910-20,1910-20
2540618009,false,finalized,5,11/13/2019 17:50:01,,2.6,0.8,"we must rid ourselves , in other words , of the innumerable devices for creating unnecessary jobs . we must end every useless political job in the [[federal]] , state or city bureaucracies relief for the period of the war . relief should be given only to unemployables .","profound geo - political reasons why the british decided to pass the proclamation of 1763 and quebec act of america , faced with all that was taking place in the american colonies . yet it was truly remarkable that , in this period of imperial history , the british themselves would begin to understand the importance of the federal principle and the [[federal]] idea , even in the heart of the empire . having won a military victory in 1759 , it would have been possible for the british to have insisted that those who had been conquered conform entirely to the culture , to the government , and to the way of life of the so - called conqueror .",,6,9,37,49,federal,,1930-40,1990-00
2540618010,false,finalized,5,11/13/2019 17:28:00,,2.6,1.02,"the rest will take care of itself . compared to us the [[sphere]] they ' re not afraid . "" "" yes .","in the rich north atlantic , by contrast , the story has been very different . there , the rhetorical apotheosis of the private sphere has proceeded in lockstep with increased surveillance , manipulation , and control by institutions both public and private in that very same [[sphere]] . in the democracies of this region , we have witnessed an expansion of regulation in almost all aspects of life , while at the same time odes to the inviolable private sphere have become louder and found an ever larger audience .",,0,0,0,4,sphere,,1910-20,1990-00
2540618011,false,finalized,5,11/13/2019 17:38:00,,3.0,0.894,"turned up a neat new wrinkle : a battery - powered radio transmitter sealed in a steel drum attached to a lance which is hooked to the floating carcass after a whale has been killed by harpooners in small boats . it will broadcast on the 600 - to - 800 - metre band an automatically recurring [[signal]] so that a mother ship with a direction - finding receiver can track down and recover the catch . since few household radio receivers tune much higher than 560 metres , the chances of an ordinary radio listener tuning in a dead whale will be slight .","locals consider it one of the best viewpoints in the entire national forest , and the effort required weeds out the weaklings . the [[signal]] ridge trail - with upper stretches that offer great views - climbs 3 , 200 feet over 5 miles from sawyer river road to carrigain ' s summit . figure 7 to 9 hours round - trip .",,0,3,12,19,signal,,1930-40,1990-00
2540618012,false,finalized,5,11/13/2019 17:39:11,,2.6,1.02,"they were massive in proportion because of the tremendously scaled rooms of the day . one can maintain a key to the renaissance and louis xiv styles by remembering the popular motifs of the day were the acanthus [[leaf]] , sunburst , bird , and mask carvings . the chairs of this period , both louis xiii and xiv , had curved stretcher bars placed rather close to the floor .",c . with a drop [[leaf]] table above it and small pie - crust tables on either side . below the r .,,3,3,16,18,leaf,,1970-80,1950-60
2540618013,false,finalized,5,11/13/2019 17:48:26,,3.0,0.632,"txt president hoover won a point in his differences with the house economy committee today when the committee postponed action on its plan to cut all [[federal]] salaries exceeding $ 1 , 000 by a flat 11 per cent . representative douglas , democrat , of arizona , voted with the three republican members of the committee to sustain the president ' s contention that a single bill containing all reduction and consolidation proposals would have a better chance to pass the house and senate .","standard . sikeston ' s "" pole cat "" is editor charles blanton himself , a salty , 75 - year - old veteran of small - town journalism whose son henry is [[federal]] district attorney in st . louis , whose daughter , catherine , is senator pat harrison ' s secretary in washington .",,0,3,12,27,federal,,1930-40,1930-40
2540618014,false,finalized,5,11/13/2019 17:41:13,,2.0,0.894,"logical effects were reported . recently data has been presented on a year - long , double - blind placebo - controlled study involving 107 women showing that 40 mg of red clover isoflavones decreased the rate of loss of bone mineral density ( bmd ) and bone mineral content ( bmc ) in lumbar [[spine]] of pre - and peri - menopausal women . no differences were seen between treatment groups in hip bmd , bmc or urinary bone markers .",""" the sloganizing was cheap and distasteful . madison avenue admen and washington flacks should be able to turn out something more [[spine]] - tingling than "" whip inflation now . "" the specifics of the appeal are absurd : cut the food you waste by 5 per cent ; drive less ; heat less ; car - pool ; wash in cold water .",,1,3,14,16,spine,,1990-00,1970-80
2540618015,false,finalized,5,11/13/2019 17:48:25,,3.0,0.632,"robert m . hitchcock , who prosecuted the amerasia case in 1945 , testified today that he had been gravely handicapped because the government ' s best evidence had been produced by illegal seizures by [[federal]] agents . the prosecution , he asserted , was in fact fortunate under the circumstances to have done as well as it did .","its acts were proved and heinous , punishable under the common . law , but not under the [[federal]] , statute ! the supreme court discharges the defendants with , regret , because it is more important to "" preserve inviolate the "" fundamental limitation ' s in respect "" to federal jurisdiction misconduct fairly inhuman .",,0,6,13,35,federal,,1950-60,1910-20
2540618016,false,finalized,5,11/13/2019 17:44:54,,2.8,0.98,"you do n ' t see many trailers like steve badanes ' 1956 silver airstream anymore . round and [[compact]] , it is one of those sleek design achievements of the 1950s that can make people nostalgic for tackiness . badanes even travels with a plastic pink flamingo that he props outside the door wherever he parks .",". because this afternoon you left here neither your purse , your [[compact]] nor your handkerchief . 42b cs nora smiles - - camera shooting past roberto at left f .",,0,3,6,18,compact,,1970-80,1950-60
2540618017,false,finalized,5,11/13/2019 18:09:57,,2.4,0.49,"ing an increase for transit men to bring rush of union demands by paul crowell publication of the recommendations of mayor o ' dwyer ' s transit advisory committee , favoring substantial pay rises , improved working conditions and stabilized labor relations for the 32 , 000 employes of the city ' s unified transit system , will be the [[signal]] for a flood of demands for similar concessions to other city employes , it was indicated yesterday . labor organizations representing many thousands of city employes outside the board of transportation are preparing demands for substantial pay rises , on the strength of the strong upward trend of living costs since the 1946 - 47 budget was adopted in june","the accident happened as the train , bound for new york from newark , entered the station . the first car detached from the others and careened 100 feet up the track to the east end of the station , knocking down [[signal]] equipment and tearing up the third rail as it hurtled along . it caught fire and , after the passengers escaped , burned out , becoming charred and blackened throughout , its windows smashed and its seats thrown about .",,1,3,2,17,signal,,1930-40,1930-40
2540618018,false,finalized,5,11/13/2019 17:44:01,,2.6,0.8,"it can , if it will , transform american politics . on the local , state , and [[federal]] level , labor needs to win the support of farmers , self - employed business men and professional groups , , youth , the minorities , the rode - . pendents , and the eggheads .",""" the quick thinking and acting on the part of mr . mitchell , who is the resident of the largest bank in the united states , should have been commended instead of condemned by the author of the [[federal]] reserve bill . "" senator glass may have been one of the authors of the federal reserve bill , but he is not now responrible for its operation .",,6,4,38,40,federal,,1950-60,1910-20
2540618019,false,finalized,5,11/13/2019 17:50:01,,2.2,0.748,"but i was sick a lot of times and i could more shots back at the sugar camp ? "" "" i could n ' t hear anything for a long time but folded [[leaf]] ' s head breaking open against the beech tree . and i could hear him ask me to help him .","at least some of the paving is porous enough to allow rainfall to pass through it to plant roots , rather than running off to the street . [[leaf]] litter is turned to compost that enriches the soil . grass clippings left on lawns break down to form nitrogen .",,6,7,1,24,leaf,,1970-80,1990-00
